Running query: struct_fieldaccess.ql on database /home/till/thesis/hantro-db...
| boundary_direction |                   func_name                    |          struct_name           | access_type |             file             |
| Driver -> Kernel   | hantro_start_streaming                         | vb2_queue                      | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_stop_streaming                          | v4l2_fh                        | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_stop_streaming                          | vb2_queue                      | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_try_ctrl                                | v4l2_ctrl                      | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_try_ctrl                                | v4l2_ctrl_av1_sequence         | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_try_ctrl                                | v4l2_ctrl_h264_sps             | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_try_ctrl                                | v4l2_ctrl_hevc_sps             | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_try_ctrl                                | v4l2_ctrl_ptr                  | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_try_ctrl                                | v4l2_ctrl_vp9_frame            | Read-only   | hantro_drv.c                 |
| Driver -> Kernel   | hantro_try_fmt                                 | v4l2_pix_format_mplane         | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_try_fmt                                 | v4l2_plane_pix_format          | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_update_requires_hold_capture_buf        | v4l2_fh                        | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_update_requires_hold_capture_buf        | vb2_queue                      | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_update_requires_request                 | v4l2_fh                        | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_update_requires_request                 | v4l2_m2m_ctx                   | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_update_requires_request                 | v4l2_m2m_queue_ctx             | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_update_requires_request                 | vb2_queue                      | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | hantro_vq_is_coded                             | vb2_queue                      | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_clean_refs             | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_frame_ref              | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_get_dist               | v4l2_ctrl_av1_sequence         | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_is_lossless            | v4l2_av1_quantization          | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_is_lossless            | v4l2_av1_segmentation          | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_is_lossless            | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_luma_size              | v4l2_pix_format_mplane         | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_run                    | vb2_buffer                     | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_run                    | vb2_v4l2_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_cdef               | v4l2_av1_cdef                  | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_cdef               | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_fgs                | v4l2_ctrl_av1_film_grain       | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_frame_sign_bias    | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_frame_sign_bias    | v4l2_ctrl_av1_sequence         | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_global_model       | v4l2_av1_global_motion         | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_global_model       | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_input_buffer       | v4l2_ctrl_av1_tile_group_entry | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_input_buffer       | vb2_v4l2_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_loopfilter         | v4l2_av1_loop_filter           | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_loopfilter         | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_lr                 | v4l2_av1_loop_restoration      | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_lr                 | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_other_frames       | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_output_buffer      | v4l2_m2m_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_output_buffer      | vb2_v4l2_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_parameters         | v4l2_av1_loop_filter           | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_parameters         | v4l2_av1_quantization          | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_parameters         | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_parameters         | v4l2_ctrl_av1_sequence         | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_picture_dimensions | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_prob               | v4l2_av1_quantization          | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_prob               | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_ref                | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_ref                | v4l2_m2m_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_ref                | vb2_v4l2_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_reference_frames   | v4l2_av1_global_motion         | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_reference_frames   | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_segmentation       | v4l2_av1_segmentation          | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_segmentation       | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_segmentation       | v4l2_m2m_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_segmentation       | vb2_v4l2_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_superres_params    | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_tile_info          | v4l2_av1_tile_info             | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_tile_info          | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_set_tile_info          | v4l2_ctrl_av1_tile_group_entry | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_tiles_reallocate       | v4l2_av1_tile_info             | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_tiles_reallocate       | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_av1_dec_update_prob            | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_get_frame_index                | v4l2_ctrl_av1_frame            | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_postproc_enable                | v4l2_pix_format_mplane         | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_postproc_enable                | v4l2_plane_pix_format          | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | rockchip_vpu981_postproc_enable                | vb2_v4l2_buffer                | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| Driver -> Kernel   | vb2_to_hantro_decoded_buf                      | v4l2_m2m_buffer                | Read-only   | hantro.h                     |
| Driver -> Kernel   | vb2_to_hantro_decoded_buf                      | vb2_v4l2_buffer                | Read-only   | hantro.h                     |
| Driver -> Kernel   | vidioc_enum_fmt                                | v4l2_fmtdesc                   | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_enum_framesizes                         | (unnamed class/struct/union)   | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_enum_framesizes                         | v4l2_frmsizeenum               | Modified    | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_g_fmt_cap_mplane                        | (unnamed class/struct/union)   | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_g_fmt_cap_mplane                        | v4l2_format                    | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_g_fmt_out_mplane                        | (unnamed class/struct/union)   | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_g_fmt_out_mplane                        | v4l2_format                    | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_querycap                                | device                         | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_querycap                                | device_driver                  | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_querycap                                | v4l2_capability                | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_querycap                                | video_device                   | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_s_fmt_cap_mplane                        | (unnamed class/struct/union)   | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_s_fmt_cap_mplane                        | v4l2_format                    | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_s_fmt_out_mplane                        | (unnamed class/struct/union)   | Read-only   | hantro_v4l2.c                |
| Driver -> Kernel   | vidioc_s_fmt_out_mplane                        | v4l2_format                    | Read-only   | hantro_v4l2.c                |
