Running query: find_used_structs.ql on database /home/till/thesis/hantro-db...
|              func_name               |          struct_name          | struct_origin | access_type |             file             |
| init_buffer_cache_hints              | vb2_buffer                    | driver        | Modified    | videobuf2-core.c             |
| init_buffer_cache_hints              | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| rockchip_vpu981_av1_dec_exit         | (unnamed class/struct/union)  | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_aux_buf                | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_av1_dec_hw_ctx         | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_ctx                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_exit         | hantro_dev                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | (unnamed class/struct/union)  | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_aux_buf                | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_av1_dec_hw_ctx         | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_ctx                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_av1_dec_tiles_free   | hantro_dev                    | driver        | Read-only   | rockchip_vpu981_hw_av1_dec.c |
| set_queue_coherency                  | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| v4l2_m2m_buf_remove                  | vb2_v4l2_buffer               | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_get_vq                      | vb2_queue                     | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_last_buffer_done            | vb2_buffer                    | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_last_buffer_done            | vb2_v4l2_buffer               | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_reqbufs                     | vb2_queue                     | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_update_stop_streaming_state | vb2_queue                     | driver        | Read-only   | v4l2-mem2mem.c               |
| v4l2_m2m_update_stop_streaming_state | vb2_v4l2_buffer               | driver        | Read-only   | v4l2-mem2mem.c               |
| vb2_buffer_done                      | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| vb2_buffer_done                      | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_buffer_in_use                    | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| vb2_buffer_in_use                    | vb2_mem_ops                   | driver        | Read-only   | videobuf2-core.c             |
| vb2_buffer_in_use                    | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_core_allocated_buffers_storage   | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_core_free_buffers_storage        | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_core_reqbufs                     | vb2_ops                       | driver        | Read-only   | videobuf2-core.c             |
| vb2_core_reqbufs                     | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_dc_alloc                         | vb2_buffer                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc                         | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc                         | vb2_queue                     | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc                         | vb2_vmarea_handler            | driver        | Modified    | videobuf2-dma-contig.c       |
| vb2_dc_alloc_coherent                | vb2_buffer                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc_coherent                | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc_coherent                | vb2_queue                     | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc_non_coherent            | vb2_buffer                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc_non_coherent            | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_alloc_non_coherent            | vb2_queue                     | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_detach_dmabuf                 | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_finish                        | vb2_buffer                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_finish                        | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_num_users                     | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_put                           | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_put_userptr                   | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_dc_unmap_dmabuf                  | vb2_dc_buf                    | driver        | Read-only   | videobuf2-dma-contig.c       |
| vb2_fileio_is_active                 | vb2_fileio_data               | driver        | Read-only   | videobuf2-core.h             |
| vb2_fileio_is_active                 | vb2_queue                     | driver        | Read-only   | videobuf2-core.h             |
| vb2_get_buffer                       | vb2_queue                     | driver        | Read-only   | videobuf2-core.h             |
| vb2_get_drv_priv                     | vb2_queue                     | driver        | Read-only   | videobuf2-core.h             |
| vb2_get_num_buffers                  | vb2_queue                     | driver        | Read-only   | videobuf2-core.h             |
| vb2_queue_add_buffer                 | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| vb2_queue_add_buffer                 | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_queue_allows_cache_hints         | vb2_queue                     | driver        | Read-only   | videobuf2-core.h             |
| vb2_queue_remove_buffer              | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| vb2_queue_remove_buffer              | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_req_unbind                       | vb2_buf_ops                   | driver        | Read-only   | videobuf2-core.c             |
| vb2_req_unbind                       | vb2_buffer                    | driver        | Read-only   | videobuf2-core.c             |
| vb2_req_unbind                       | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| vb2_reqbufs                          | vb2_queue                     | driver        | Read-only   | videobuf2-v4l2.c             |
| vb2_set_flags_and_caps               | vb2_queue                     | driver        | Read-only   | videobuf2-v4l2.c             |
| vb2_verify_memory_type               | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| verify_coherency_flags               | vb2_queue                     | driver        | Read-only   | videobuf2-core.c             |
| __v4l2_event_queue_fh                | (unnamed class/struct/union)  | kernel        | Read-only   | v4l2-event.c                 |
| __v4l2_event_queue_fh                | list_head                     | kernel        | Read-only   | v4l2-event.c                 |
| __v4l2_event_queue_fh                | v4l2_event                    | kernel        | Read-only   | v4l2-event.c                 |
| __v4l2_event_queue_fh                | v4l2_fh                       | kernel        | Read-only   | v4l2-event.c                 |
| __v4l2_event_queue_fh                | v4l2_kevent                   | kernel        | Read-only   | v4l2-event.c                 |
| __v4l2_event_queue_fh                | v4l2_subscribed_event         | kernel        | Read-only   | v4l2-event.c                 |
| __v4l2_event_queue_fh                | v4l2_subscribed_event_ops     | kernel        | Read-only   | v4l2-event.c                 |
| __v4l2_event_queue_fh                | wait_queue_head               | kernel        | Read-only   | v4l2-event.c                 |
| __vb2_buf_mem_alloc                  | device                        | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_plane_dmabuf_put               | dma_buf                       | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | (unnamed class/struct/union)  | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | list_head                     | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | media_request                 | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | media_request_object          | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | spinlock                      | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_cancel                   | wait_queue_head               | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_free                     | list_head                     | kernel        | Read-only   | videobuf2-core.c             |
| __vb2_queue_free                     | mutex                         | kernel        | Read-only   | videobuf2-core.c             |
| check_fmt                            | file                          | kernel        | Read-only   | v4l2-ioctl.c                 |
| check_fmt                            | v4l2_ioctl_ops                | kernel        | Read-only   | v4l2-ioctl.c                 |
| check_fmt                            | video_device                  | kernel        | Read-only   | v4l2-ioctl.c                 |
| cur_to_new                           | v4l2_ctrl                     | kernel        | Read-only   | v4l2-ctrls-core.c            |
| cur_to_new                           | v4l2_ctrl_ptr                 | kernel        | Read-only   | v4l2-ctrls-core.c            |
