Running query: ioctl_recursive_calls.ql on database /home/till/thesis/hantro-db...
|         caller_file          | core_scope  | unique_ioctls_calling_this |                                                              ioctl_list                                                               |         called_file          |
| v4l2-event.c                 | 3_kernel    |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | spinlock_api_smp.h           |
| v4l2-event.c                 | 3_kernel    |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | spinlock.h                   |
| v4l2-ctrls-request.c         | 2_SubSystem |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | v4l2-ctrls-request.c         |
| v4l2-ctrls-core.c            | 2_SubSystem |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | v4l2-ctrls-priv.h            |
| v4l2-ctrls-core.c            | 2_SubSystem |                          5 | v4l_qbuf, v4l_reqbufs, v4l_s_ext_ctrls, v4l_streamoff, v4l_streamon                                                                   | v4l2-ctrls-core.c            |
| videobuf2-dma-contig.c       | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | highmem.h                    |
| rockchip_vpu981_hw_av1_dec.c | 1_Driver    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | rockchip_vpu981_hw_av1_dec.c |
| hantro_v4l2.c                | 1_Driver    |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_v4l2.c                |
| hantro_v4l2.c                | 1_Driver    |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_postproc.c            |
| hantro_v4l2.c                | 1_Driver    |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_hw.h                  |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | atomic-instrumented.h        |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | list.h                       |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | mc-request.c                 |
| v4l2-ctrls-core.c            | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | v4l2-ctrls-core.c            |
| rockchip_vpu981_hw_av1_dec.c | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | rockchip_vpu981_hw_av1_dec.c |
| rockchip_vpu981_hw_av1_dec.c | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | dma-mapping.h                |
| v4l2-ctrls-request.c         | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | mc-request.c                 |
| v4l2-ctrls-request.c         | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | list.h                       |
| v4l2-ctrls-request.c         | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | mutex.h                      |
| v4l2-ctrls-request.c         | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | slab.h                       |
| hantro_v4l2.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | videobuf2-core.h             |
| hantro_v4l2.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_v4l2.c                |
| hantro_v4l2.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_postproc.c            |
| hantro_v4l2.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | v4l2-common.c                |
| hantro_v4l2.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | v4l2-mem2mem.c               |
| hantro_v4l2.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | videobuf2-core.h             |
| hantro_v4l2.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_hw.h                  |
| v4l2-mem2mem.h               | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | v4l2-mem2mem.c               |
| v4l2-ctrls-request.c         | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | v4l2-ctrls-request.c         |
| v4l2-ctrls-request.c         | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | v4l2-ctrls-core.c            |
| v4l2-ctrls-request.c         | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | v4l2-ctrls.h                 |
| v4l2-mem2mem.c               | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | list.h                       |
| videobuf2-dma-contig.c       | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | dma-mapping.h                |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | spinlock.h                   |
| videobuf2-dma-contig.c       | 3_kernel    |                          4 | v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs                                                                                        | refcount.h                   |
| v4l2-mem2mem.h               | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | videobuf2-core.c             |
| hantro_v4l2.c                | 3_kernel    |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | printk.h                     |
| hantro_v4l2.c                | 3_kernel    |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | string_fortified.h           |
| videobuf2-core.c             | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | videobuf2-dma-contig.c       |
| videobuf2-core.c             | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          4 | v4l_dqbuf, v4l_qbuf, v4l_querybuf, v4l_reqbufs                                                                                        | videobuf2-dma-contig.c       |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | vb2.h                        |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | wait.h                       |
| videobuf2-core.c             | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | spinlock_api_smp.h           |
| v4l2-common.c                | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | v4l2-common.c                |
| v4l2-mem2mem.c               | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | v4l2-mem2mem.h               |
| v4l2-mem2mem.c               | 2_SubSystem |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | videobuf2-core.c             |
| v4l2-mem2mem.c               | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | spinlock_api_smp.h           |
| v4l2-mem2mem.c               | 3_kernel    |                          4 | v4l_qbuf, v4l_reqbufs, v4l_streamoff, v4l_streamon                                                                                    | spinlock.h                   |
| hantro_hw.h                  | 2_SubSystem |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_hw.h                  |
| hantro_hw.h                  | 1_Driver    |                          4 | v4l_qbuf, v4l_s_ext_ctrls, v4l_s_fmt, v4l_streamon                                                                                    | hantro_hw.h                  |
| v4l2-ctrls-core.c            | 1_Driver    |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | hantro_drv.c                 |
| videobuf2-v4l2.c             | 3_kernel    |                          3 | v4l_dqbuf, v4l_qbuf, v4l_querybuf                                                                                                     | printk.h                     |
| videobuf2-v4l2.c             | 3_kernel    |                          3 | v4l_dqbuf, v4l_qbuf, v4l_querybuf                                                                                                     | string_fortified.h           |
| v4l2-ctrls-core.c            | 3_kernel    |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | list.h                       |
| v4l2-ctrls-core.c            | 3_kernel    |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | string_fortified.h           |
| v4l2-ctrls-core.c            | 2_SubSystem |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | v4l2-ctrls-priv.h            |
| videobuf2-v4l2.c             | 2_SubSystem |                          3 | v4l_dqbuf, v4l_qbuf, v4l_querybuf                                                                                                     | v4l2-common.h                |
| videobuf2-v4l2.c             | 2_SubSystem |                          3 | v4l_dqbuf, v4l_qbuf, v4l_querybuf                                                                                                     | videobuf2-core.c             |
| v4l2-ctrls-core.c            | 3_kernel    |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | string.h                     |
| v4l2-ctrls-core.c            | 2_SubSystem |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | v4l2-event.c                 |
| v4l2-ctrls-core.c            | 2_SubSystem |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | hantro_drv.c                 |
| hantro_drv.c                 | 2_SubSystem |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | hantro_v4l2.c                |
| videobuf2-core.h             | 3_kernel    |                          3 | v4l_qbuf, v4l_reqbufs, v4l_streamon                                                                                                   | bitmap.h                     |
| v4l2-common.h                | 3_kernel    |                          3 | v4l_dqbuf, v4l_qbuf, v4l_querybuf                                                                                                     | time64.h                     |
| hantro_drv.c                 | 1_Driver    |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | hantro_v4l2.c                |
| videobuf2-core.c             | 2_SubSystem |                          3 | v4l_dqbuf, v4l_reqbufs, v4l_streamoff                                                                                                 | videobuf2-v4l2.c             |
| v4l2-ctrls-core.c            | 2_SubSystem |                          3 | v4l_qbuf, v4l_s_ext_ctrls, v4l_streamon                                                                                               | v4l2-ctrls-core.c            |
| v4l2-mem2mem.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | printk.h                     |
| hantro_drv.c                 | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | jiffies.h                    |
| hantro_drv.c                 | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | workqueue.h                  |
| hantro_drv.c                 | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | clk.h                        |
| hantro_drv.c                 | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | pm_runtime.h                 |
| hantro_drv.c                 | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_drv.c                 |
| hantro_drv.c                 | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
| hantro_drv.c                 | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro_drv.c                 | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro.h                     |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-event.c                 |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_drv.c                 |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_vpu981_hw_av1_dec.c |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-ctrls-request.c         |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-ctrls-core.c            |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.c               |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.h               |
| hantro_drv.c                 | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro.h                     |
