Running query: ioctl_recursive_calls.ql on database /home/till/thesis/hantro-db...
|         caller_file          | core_scope  | unique_ioctls_calling_this |                                                              ioctl_list                                                               |         called_file          |
| hantro_postproc.c            | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_v4l2.c                |
| hantro_postproc.c            | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro_postproc.c            | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-common.c                |
| hantro_postproc.c            | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-core.h             |
| hantro_postproc.c            | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_hw.h                  |
| rockchip_av1_filmgrain.c     | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_filmgrain.c     |
| rockchip_av1_filmgrain.c     | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_filmgrain.c     |
| v4l2-ctrls-core.c            | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | slab.h                       |
| v4l2-ctrls-core.c            | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | string_fortified.h           |
| v4l2-ctrls-core.c            | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-ctrls-core.c            |
| videobuf2-memops.c           | 2_SubSystem |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | frame_vector.c               |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | dma-buf.h                    |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | list.h                       |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | atomic-instrumented.h        |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | vb2.h                        |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | mc-request.c                 |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | list.h                       |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | atomic-instrumented.h        |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | spinlock.h                   |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | spinlock_api_smp.h           |
| videobuf2-core.c             | 3_kernel    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | wait.h                       |
| videobuf2-core.c             | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_v4l2.c                |
| videobuf2-core.c             | 1_Driver    |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | hantro_v4l2.c                |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | videobuf2-dma-contig.c       |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_v4l2.c                |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-dma-contig.c       |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-core.h             |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | hantro_v4l2.c                |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | videobuf2-core.h             |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | printk.h                     |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | err.h                        |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | slab.h                       |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | mm.h                         |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | scatterlist.h                |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | dma-mapping.h                |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | frame_vector.h               |
| videobuf2-dma-contig.c       | 3_kernel    |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | dma-buf.h                    |
| videobuf2-dma-contig.c       | 2_SubSystem |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | videobuf2-memops.c           |
| videobuf2-dma-contig.c       | 2_SubSystem |                          2 | v4l_qbuf, v4l_reqbufs                                                                                                                 | videobuf2-dma-contig.c       |
| v4l2-mem2mem.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | list.h                       |
| v4l2-mem2mem.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | spinlock.h                   |
| v4l2-mem2mem.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | spinlock_api_smp.h           |
| v4l2-mem2mem.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | wait.h                       |
| v4l2-mem2mem.c               | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | workqueue.h                  |
| v4l2-mem2mem.c               | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_drv.c                 |
| v4l2-mem2mem.c               | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_drv.c                 |
| v4l2-mem2mem.c               | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.c               |
| v4l2-mem2mem.c               | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.h               |
| v4l2-mem2mem.c               | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | v4l2-mem2mem.c               |
| v4l2-mem2mem.c               | 2_SubSystem |                          2 | v4l_reqbufs, v4l_streamoff                                                                                                            | v4l2-mem2mem.h               |
| rockchip_av1_entropymode.c   | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | string_fortified.h           |
| rockchip_av1_entropymode.c   | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_entropymode.c   |
| rockchip_av1_entropymode.c   | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | rockchip_av1_entropymode.c   |
| videobuf2-dma-contig.h       | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-core.c             |
| v4l2-mem2mem.h               | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.c               |
| hantro_hw.h                  | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_hw.h                  |
| hantro_hw.h                  | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_hw.h                  |
| hantro.h                     | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | printk.h                     |
| hantro.h                     | 3_kernel    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | io.h                         |
| hantro.h                     | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro.h                     | 1_Driver    |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro.h                     |
| hantro.h                     | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro_postproc.c            |
| hantro.h                     | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | videobuf2-dma-contig.h       |
| hantro.h                     | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | v4l2-mem2mem.h               |
| hantro.h                     | 2_SubSystem |                          2 | v4l_qbuf, v4l_streamon                                                                                                                | hantro.h                     |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_querybuf                                                                                                                          | v4l2-mem2mem.c               |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | printk.h                     |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | string.h                     |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | mutex.h                      |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | slab.h                       |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | uaccess.h                    |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | string_fortified.h           |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_query_ext_ctrl                                                                                                                    | list.h                       |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_query_ext_ctrl                                                                                                                    | string.h                     |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_query_ext_ctrl                                                                                                                    | mutex.h                      |
| v4l2-ctrls-api.c             | 3_kernel    |                          1 | v4l_query_ext_ctrl                                                                                                                    | string_fortified.h           |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-defs.c            |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-request.c         |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-api.c             |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-core.c            |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-dev.h                   |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls.h                 |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-priv.h            |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_query_ext_ctrl                                                                                                                    | v4l2-ctrls-core.c            |
| v4l2-ctrls-api.c             | 2_SubSystem |                          1 | v4l_query_ext_ctrl                                                                                                                    | v4l2-ctrls-priv.h            |
| v4l2-ctrls-core.c            | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | string.h                     |
| v4l2-ctrls-core.c            | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | string_fortified.h           |
| frame_vector.c               | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | overflow.h                   |
| hantro_v4l2.c                | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | printk.h                     |
| videobuf2-v4l2.c             | 2_SubSystem |                          1 | v4l_stub_expbuf                                                                                                                       | videobuf2-core.c             |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_streamon                                                                                                                          | printk.h                     |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_streamoff                                                                                                                         | printk.h                     |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_querybuf                                                                                                                          | printk.h                     |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | string_fortified.h           |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | err.h                        |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | printk.h                     |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | mc-request.c                 |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | mutex.h                      |
| v4l2-ctrls-core.c            | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-core.c            |
| v4l2-mc.c                    | 3_kernel    |                          1 | v4l_s_fmt                                                                                                                             | mutex.h                      |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | printk.h                     |
| videobuf2-v4l2.c             | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | printk.h                     |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_querycap                                                                                                                          | v4l2-dev.h                   |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_querycap                                                                                                                          | v4l2-dev.c                   |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_enum_fmt                                                                                                                          | hantro.h                     |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_enum_fmt                                                                                                                          | hantro_v4l2.c                |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_g_fmt                                                                                                                             | hantro.h                     |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_s_fmt                                                                                                                             | hantro.h                     |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_s_fmt                                                                                                                             | hantro_v4l2.c                |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | videobuf2-core.h             |
| videobuf2-memops.c           | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | err.h                        |
| videobuf2-memops.c           | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | frame_vector.c               |
| v4l2-ctrls-request.c         | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | slab.h                       |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | videobuf2-core.h             |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | err.h                        |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | dma-buf.h                    |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | mc-request.c                 |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | list.h                       |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | kernel.h                     |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | spinlock.h                   |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | spinlock_api_smp.h           |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | wait.h                       |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | sched.h                      |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_dqbuf                                                                                                                             | vb2.h                        |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | mc-request.c                 |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | list.h                       |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | bug.h                        |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | err.h                        |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | media-request.h              |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | dma-buf.h                    |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | vb2.h                        |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | string_fortified.h           |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | list.h                       |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | generic-non-atomic.h         |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | instrumented-atomic.h        |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | bitmap.h                     |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | mutex.h                      |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | err.h                        |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | slab.h                       |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | string_fortified.h           |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_streamoff                                                                                                                         | printk.h                     |
| videobuf2-core.c             | 3_kernel    |                          1 | v4l_streamon                                                                                                                          | printk.h                     |
| v4l2-ctrls-request.c         | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | err.h                        |
| v4l2-dev.h                   | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | device.h                     |
| hantro_v4l2.c                | 3_kernel    |                          1 | v4l_stub_enum_framesizes                                                                                                              | printk.h                     |
| v4l2-ctrls-request.c         | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-dev.h                   |
| v4l2-ctrls-request.c         | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-core.c            |
| v4l2-dev.h                   | 3_kernel    |                          1 | v4l_querycap                                                                                                                          | device.h                     |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_stub_expbuf                                                                                                                       | videobuf2-v4l2.c             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_stub_expbuf                                                                                                                       | v4l2-mem2mem.c               |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_dqbuf                                                                                                                             | videobuf2-v4l2.c             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_dqbuf                                                                                                                             | v4l2-mem2mem.c               |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | videobuf2-v4l2.c             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | v4l2-dev.c                   |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | hantro_v4l2.c                |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_stub_enum_framesizes                                                                                                              | hantro.h                     |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_stub_enum_framesizes                                                                                                              | hantro_postproc.c            |
| hantro_v4l2.c                | 2_SubSystem |                          1 | v4l_stub_enum_framesizes                                                                                                              | hantro_v4l2.c                |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_enum_fmt                                                                                                                          | hantro.h                     |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_enum_fmt                                                                                                                          | hantro_v4l2.c                |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_g_fmt                                                                                                                             | hantro.h                     |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_s_fmt                                                                                                                             | hantro.h                     |
| videobuf2-core.c             | 1_Driver    |                          1 | v4l_qbuf                                                                                                                              | hantro_v4l2.c                |
| videobuf2-core.c             | 1_Driver    |                          1 | v4l_reqbufs                                                                                                                           | hantro_v4l2.c                |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | v4l2-mem2mem.c               |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | videobuf2-core.h             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_stub_expbuf                                                                                                                       | videobuf2-dma-contig.c       |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_stub_expbuf                                                                                                                       | videobuf2-core.h             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_dqbuf                                                                                                                             | videobuf2-v4l2.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_dqbuf                                                                                                                             | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | hantro_v4l2.c                |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | videobuf2-v4l2.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | videobuf2-dma-contig.c       |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_querybuf                                                                                                                          | videobuf2-v4l2.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | hantro_v4l2.c                |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | videobuf2-v4l2.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | videobuf2-dma-contig.c       |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | videobuf2-core.h             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_streamoff                                                                                                                         | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_streamon                                                                                                                          | videobuf2-core.c             |
| videobuf2-core.c             | 2_SubSystem |                          1 | v4l_streamon                                                                                                                          | videobuf2-core.h             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_qbuf                                                                                                                              | v4l2-mem2mem.h               |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_querybuf                                                                                                                          | videobuf2-v4l2.c             |
| videobuf2-v4l2.c             | 2_SubSystem |                          1 | v4l_stub_expbuf                                                                                                                       | videobuf2-core.h             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | videobuf2-v4l2.c             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_reqbufs                                                                                                                           | v4l2-mem2mem.c               |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_streamoff                                                                                                                         | videobuf2-v4l2.c             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_streamoff                                                                                                                         | v4l2-mem2mem.c               |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_streamon                                                                                                                          | videobuf2-v4l2.c             |
| v4l2-mem2mem.c               | 2_SubSystem |                          1 | v4l_streamon                                                                                                                          | v4l2-mem2mem.c               |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_s_fmt                                                                                                                             | hantro_v4l2.c                |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_qbuf                                                                                                                              | hantro_v4l2.c                |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_stub_enum_framesizes                                                                                                              | hantro.h                     |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_stub_enum_framesizes                                                                                                              | hantro_postproc.c            |
| hantro_v4l2.c                | 1_Driver    |                          1 | v4l_stub_enum_framesizes                                                                                                              | hantro_v4l2.c                |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | refcount.h                   |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | err.h                        |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | slab.h                       |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | dev_printk.h                 |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | dma-mapping.h                |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_stub_expbuf                                                                                                                       | dma-buf.h                    |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | cache.h                      |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | printk.h                     |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | err.h                        |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | slab.h                       |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | highmem.h                    |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | scatterlist.h                |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | dma-mapping.h                |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | frame_vector.h               |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | dma-buf.h                    |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | refcount.h                   |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | err.h                        |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | slab.h                       |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | dev_printk.h                 |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | device.h                     |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | scatterlist.h                |
| videobuf2-dma-contig.c       | 3_kernel    |                          1 | v4l_reqbufs                                                                                                                           | dma-mapping.h                |
| v4l2-dev.h                   | 2_SubSystem |                          1 | v4l_querycap                                                                                                                          | v4l2-dev.c                   |
| v4l2-dev.h                   | 2_SubSystem |                          1 | v4l_querycap                                                                                                                          | v4l2-dev.h                   |
| v4l2-ctrls-request.c         | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | printk.h                     |
| frame_vector.c               | 3_kernel    |                          1 | v4l_qbuf                                                                                                                              | bitops.h                     |
| v4l2-ctrls-request.c         | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | mc-request.c                 |
| v4l2-ctrls-request.c         | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-api.c             |
| v4l2-ctrls-request.c         | 2_SubSystem |                          1 | v4l_s_ext_ctrls                                                                                                                       | v4l2-ctrls-request.c         |
| v4l2-ctrls-request.c         | 3_kernel    |                          1 | v4l_s_ext_ctrls                                                                                                                       | media-request.h              |
