Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |             called_func              |          dest_file           |
| 1_driver | handler_set_err                      | v4l2-ctrls-core.c            |
| 1_driver | req_alloc_array                      | v4l2-ctrls-core.c            |
| 1_driver | ptr_to_ptr                           | v4l2-ctrls-core.c            |
| 1_driver | std_init_compound                    | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_bind               | v4l2-ctrls-request.c         |
| 1_driver | v4l2_ctrl_request_clone              | v4l2-ctrls-request.c         |
| 1_driver | v4l2_event_src_merge                 | v4l2-event.c                 |
| 1_driver | v4l2_event_src_replace               | v4l2-event.c                 |
| 1_driver | __v4l2_event_queue_fh                | v4l2-event.c                 |
| 1_driver | v4l2_event_subscribed                | v4l2-event.c                 |
| 1_driver | sev_pos                              | v4l2-event.c                 |
| 1_driver | get_queue_ctx                        | v4l2-mem2mem.c               |
| 1_driver | put_vaddr_frames                     | frame_vector.c               |
| 1_driver | frame_vector_destroy                 | frame_vector.c               |
| 1_driver | vb2_get_buffer                       | videobuf2-core.h             |
| 1_driver | vb2_get_drv_priv                     | videobuf2-core.h             |
| 1_driver | vb2_get_num_buffers                  | videobuf2-core.h             |
| 1_driver | vb2_fileio_is_active                 | videobuf2-core.h             |
| 1_driver | vb2_queue_allows_cache_hints         | videobuf2-core.h             |
| 1_driver | vb2_verify_memory_type               | videobuf2-core.c             |
| 1_driver | vb2_buffer_in_use                    | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | videobuf2-core.c             |
| 1_driver | vb2_buffer_done                      | videobuf2-core.c             |
| 1_driver | video_devdata                        | v4l2-dev.c                   |
| 1_driver | __vb2_queue_cancel                   | videobuf2-core.c             |
| 1_driver | __vb2_dqbuf                          | videobuf2-core.c             |
| 1_driver | vb2_core_free_buffers_storage        | videobuf2-core.c             |
| 1_driver | vb2_core_allocated_buffers_storage   | videobuf2-core.c             |
| 1_driver | verify_coherency_flags               | videobuf2-core.c             |
| 1_driver | set_queue_coherency                  | videobuf2-core.c             |
| 1_driver | __verify_dmabuf_ops                  | videobuf2-core.c             |
| 2_kernel | dma_free_coherent                    | dma-mapping.h                |
| 2_kernel | list_del_init                        | list.h                       |
| 2_kernel | list_del                             | list.h                       |
| 2_kernel | list_add_tail                        | list.h                       |
| 2_kernel | list_add                             | list.h                       |
| 2_kernel | INIT_LIST_HEAD                       | list.h                       |
| 2_kernel | generic_test_bit                     | generic-non-atomic.h         |
| 2_kernel | _printk                              | printk.h                     |
