Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |                  caller_func                   |                  called_func                   |             file             |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | gsc-core.c                   |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | meson-ir.c                   |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | hantro_jpeg.c                |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | venc.c                       |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | vdec_vp9_req_lat_if.c        |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | mtk_vcodec_enc.c             |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | wave5-hw.c                   |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | v4l2-common.c                |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | camss-csid.c                 |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | camss-ispif.c                |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | imx8-isi-video.c             |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | rcar_fdp1.c                  |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | camss-vfe.c                  |
| 1_driver | clamp_roundup                                  | __compiletime_assert_625                       | rzg2l-csi2.c                 |
| 1_driver | cluster_changed                                | v4l2_ctrl_type_op_equal                        | v4l2-ctrls-core.c            |
| 1_driver | cur_to_new                                     | ptr_to_ptr                                     | v4l2-ctrls-core.c            |
| 1_driver | cur_to_req                                     | req_alloc_array                                | v4l2-ctrls-core.c            |
| 1_driver | cur_to_req                                     | ptr_to_ptr                                     | v4l2-ctrls-core.c            |
| 1_driver | device_run                                     | v4l2_m2m_buf_copy_metadata                     | v4l2-mem2mem.c               |
| 1_driver | device_run                                     | hantro_job_finish_no_pm                        | hantro_drv.c                 |
| 1_driver | device_run                                     | hantro_get_src_buf                             | hantro.h                     |
| 1_driver | device_run                                     | hantro_get_dst_buf                             | hantro.h                     |
