Running query: find_untracked_calls.ql on database /home/till/thesis/hantro-db...
|        ops_struct         |        field         |          called_from           | raw_access_path |            file            | line |        implementation_func         |
| vb2_mem_ops               | get_userptr          | __prepare_userptr              | mem_ops         | videobuf2-core.c           | 1318 | vb2_dc_get_userptr                 |
| vb2_mem_ops               | get_userptr          | __prepare_userptr              | mem_ops         | videobuf2-core.c           | 1318 | vb2_dma_sg_get_userptr             |
| vb2_mem_ops               | get_userptr          | __prepare_userptr              | mem_ops         | videobuf2-core.c           | 1318 | vb2_vmalloc_get_userptr            |
| vb2_mem_ops               | get_dmabuf           | vb2_core_expbuf                | mem_ops         | videobuf2-core.c           | 2466 | vb2_dc_get_dmabuf                  |
| vb2_mem_ops               | get_dmabuf           | vb2_core_expbuf                | mem_ops         | videobuf2-core.c           | 2466 | vb2_dma_sg_get_dmabuf              |
| vb2_mem_ops               | get_dmabuf           | vb2_core_expbuf                | mem_ops         | videobuf2-core.c           | 2466 | vb2_vmalloc_get_dmabuf             |
| vb2_buf_ops               | copy_timestamp       | vb2_core_qbuf                  | buf_ops         | videobuf2-core.c           | 1900 | __copy_timestamp                   |
| vb2_buf_ops               | copy_timestamp       | vb2_core_qbuf                  | buf_ops         | videobuf2-core.c           | 1940 | __copy_timestamp                   |
| vb2_buf_ops               | fill_vb2_buffer      | __prepare_dmabuf               | buf_ops         | videobuf2-core.c           | 1392 | __fill_vb2_buffer                  |
| vb2_buf_ops               | fill_vb2_buffer      | __prepare_userptr              | buf_ops         | videobuf2-core.c           | 1276 | __fill_vb2_buffer                  |
| vb2_buf_ops               | fill_vb2_buffer      | __prepare_mmap                 | buf_ops         | videobuf2-core.c           | 1257 | __fill_vb2_buffer                  |
| vb2_buf_ops               | fill_user_buffer     | vb2_core_dqbuf                 | buf_ops         | videobuf2-core.c           | 2162 | __fill_v4l2_buffer                 |
| vb2_buf_ops               | fill_user_buffer     | vb2_core_qbuf                  | buf_ops         | videobuf2-core.c           | 1901 | __fill_v4l2_buffer                 |
| vb2_buf_ops               | fill_user_buffer     | vb2_core_qbuf                  | buf_ops         | videobuf2-core.c           | 1953 | __fill_v4l2_buffer                 |
| vb2_buf_ops               | fill_user_buffer     | vb2_core_prepare_buf           | buf_ops         | videobuf2-core.c           | 1718 | __fill_v4l2_buffer                 |
| vb2_buf_ops               | fill_user_buffer     | vb2_core_querybuf              | buf_ops         | videobuf2-core.c           |  739 | __fill_v4l2_buffer                 |
| vb2_buf_ops               | init_buffer          | __vb2_dqbuf                    | buf_ops         | videobuf2-core.c           | 2128 | __init_vb2_v4l2_buffer             |
