Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|  scope   |             caller_func              |             called_func              |             file             |
| 1_driver | v4l2_ctrl_new                        | cur_to_new                           | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_new                        | handler_new_ref                      | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_new                        | v4l2_ctrl_type_op_init               | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_new                        | check_range                          | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_new                        | handler_set_err                      | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_new_std                    | handler_set_err                      | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_new_std                    | v4l2_ctrl_fill                       | v4l2-ctrls-defs.c            |
| 1_driver | v4l2_ctrl_new_std                    | v4l2_ctrl_new                        | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_bind               | v4l2_ctrl_request_clone              | v4l2-ctrls-request.c         |
| 1_driver | v4l2_ctrl_request_clone              | handler_new_ref                      | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_complete           | cur_to_req                           | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_complete           | v4l2_ctrl_handler_free               | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_complete           | v4l2_ctrl_handler_init_class         | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_complete           | new_to_req                           | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_complete           | cur_to_new                           | v4l2-ctrls-core.c            |
| 1_driver | v4l2_ctrl_request_complete           | v4l2_ctrl_request_bind               | v4l2-ctrls-request.c         |
| 1_driver | v4l2_ctrl_type_op_init               | std_init_compound                    | v4l2-ctrls-core.c            |
| 1_driver | v4l2_event_queue_fh                  | __v4l2_event_queue_fh                | v4l2-event.c                 |
| 1_driver | v4l2_m2m_get_vq                      | get_queue_ctx                        | v4l2-mem2mem.c               |
| 1_driver | v4l2_m2m_ioctl_reqbufs               | v4l2_m2m_reqbufs                     | v4l2-mem2mem.c               |
| 1_driver | v4l2_m2m_last_buffer_done            | vb2_buffer_done                      | videobuf2-core.c             |
| 1_driver | v4l2_m2m_reqbufs                     | v4l2_m2m_get_vq                      | v4l2-mem2mem.c               |
| 1_driver | v4l2_m2m_reqbufs                     | vb2_reqbufs                          | videobuf2-v4l2.c             |
| 1_driver | v4l2_m2m_update_stop_streaming_state | v4l2_m2m_last_buffer_done            | v4l2-mem2mem.c               |
| 1_driver | v4l_reqbufs                          | v4l2_m2m_ioctl_reqbufs               | v4l2-mem2mem.c               |
| 1_driver | v4l_reqbufs                          | check_fmt                            | v4l2-ioctl.c                 |
| 1_driver | v4l_reqbufs                          | video_devdata                        | v4l2-dev.c                   |
| 1_driver | vb2_buffer_done                      | vb2_state_name                       | videobuf2-core.c             |
| 1_driver | vb2_buffer_done                      | __vb2_buf_mem_finish                 | videobuf2-core.c             |
| 1_driver | vb2_buffer_in_use                    | vb2_dc_num_users                     | videobuf2-dma-contig.c       |
| 1_driver | vb2_core_reqbufs                     | __buffers_in_use                     | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | hantro_queue_setup                   | hantro_v4l2.c                |
| 1_driver | vb2_core_reqbufs                     | __vb2_queue_alloc                    | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | __vb2_queue_free                     | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | set_queue_coherency                  | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | verify_coherency_flags               | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | vb2_core_allocated_buffers_storage   | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | vb2_core_free_buffers_storage        | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | __vb2_queue_cancel                   | videobuf2-core.c             |
| 1_driver | vb2_core_reqbufs                     | vb2_get_num_buffers                  | videobuf2-core.h             |
| 1_driver | vb2_dc_alloc                         | vb2_dc_alloc_non_coherent            | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_alloc                         | vb2_dc_alloc_coherent                | videobuf2-dma-contig.c       |
| 1_driver | vb2_dc_detach_dmabuf                 | vb2_dc_unmap_dmabuf                  | videobuf2-dma-contig.c       |
