Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                 col0                 |             col1             |
| vb2_buffer_done                      | videobuf2-core.c             |
| video_devdata                        | v4l2-dev.c                   |
| trace_vb2_buf_done                   | vb2.h                        |
| __vb2_queue_cancel                   | videobuf2-core.c             |
| __vb2_dqbuf                          | videobuf2-core.c             |
| vb2_core_free_buffers_storage        | videobuf2-core.c             |
| vb2_core_allocated_buffers_storage   | videobuf2-core.c             |
| verify_coherency_flags               | videobuf2-core.c             |
| set_queue_coherency                  | videobuf2-core.c             |
| __verify_dmabuf_ops                  | videobuf2-core.c             |
| __verify_mmap_ops                    | videobuf2-core.c             |
| __verify_userptr_ops                 | videobuf2-core.c             |
| __buffers_in_use                     | videobuf2-core.c             |
| __vb2_queue_free                     | videobuf2-core.c             |
| __vb2_free_mem                       | videobuf2-core.c             |
| __vb2_queue_alloc                    | videobuf2-core.c             |
| vb2_queue_remove_buffer              | videobuf2-core.c             |
| vb2_queue_add_buffer                 | videobuf2-core.c             |
| init_buffer_cache_hints              | videobuf2-core.c             |
| __setup_offsets                      | videobuf2-core.c             |
| __vb2_buf_mem_finish                 | videobuf2-core.c             |
| __vb2_buf_dmabuf_put                 | videobuf2-core.c             |
| __vb2_plane_dmabuf_put               | videobuf2-core.c             |
| __vb2_buf_userptr_put                | videobuf2-core.c             |
| __vb2_buf_mem_free                   | videobuf2-core.c             |
| __vb2_buf_mem_alloc                  | videobuf2-core.c             |
| vb2_state_name                       | videobuf2-core.c             |
| vb2_reqbufs                          | videobuf2-v4l2.c             |
| vb2_destroy_framevec                 | videobuf2-memops.c           |
| vb2_dc_detach_dmabuf                 | videobuf2-dma-contig.c       |
| vb2_dc_unmap_dmabuf                  | videobuf2-dma-contig.c       |
| vb2_dc_put_userptr                   | videobuf2-dma-contig.c       |
| vb2_dc_alloc                         | videobuf2-dma-contig.c       |
| vb2_dc_alloc_non_coherent            | videobuf2-dma-contig.c       |
| vb2_dc_alloc_coherent                | videobuf2-dma-contig.c       |
| vb2_dc_put                           | videobuf2-dma-contig.c       |
| vb2_dc_finish                        | videobuf2-dma-contig.c       |
| vb2_dc_num_users                     | videobuf2-dma-contig.c       |
| vb2_set_flags_and_caps               | videobuf2-v4l2.c             |
| __init_vb2_v4l2_buffer               | videobuf2-v4l2.c             |
| media_request_object_complete        | mc-request.c                 |
| media_request_object_unbind          | mc-request.c                 |
| media_request_object_bind            | mc-request.c                 |
| media_request_object_init            | mc-request.c                 |
| media_request_object_find            | mc-request.c                 |
| media_request_object_put             | mc-request.c                 |
| media_request_object_get             | media-request.h              |
| media_request_put                    | mc-request.c                 |
| v4l2_ctrl_type_op_init               | v4l2-ctrls-core.c            |
| v4l2_ctrl_request_complete           | v4l2-ctrls-request.c         |
| v4l2_ctrl_get_name                   | v4l2-ctrls-defs.c            |
| v4l2_ctrl_new_std                    | v4l2-ctrls-core.c            |
| v4l2_ctrl_unlock                     | v4l2-ctrls.h                 |
| v4l2_ctrl_lock                       | v4l2-ctrls.h                 |
| v4l2_ctrl_handler_free               | v4l2-ctrls-core.c            |
| v4l2_ctrl_handler_init_class         | v4l2-ctrls-core.c            |
| v4l2_ctrl_fill                       | v4l2-ctrls-defs.c            |
| v4l2_event_queue_fh                  | v4l2-event.c                 |
| check_fmt                            | v4l2-ioctl.c                 |
| dma_buf_vunmap_unlocked              | dma-buf.h                    |
| dma_buf_unmap_attachment_unlocked    | dma-buf.h                    |
| dma_buf_put                          | dma-buf.h                    |
| dma_buf_detach                       | dma-buf.h                    |
| v4l2_m2m_ioctl_reqbufs               | v4l2-mem2mem.c               |
| v4l2_m2m_dst_buf_remove              | v4l2-mem2mem.h               |
| v4l2_m2m_buf_remove                  | v4l2-mem2mem.c               |
| v4l2_m2m_update_stop_streaming_state | v4l2-mem2mem.c               |
| v4l2_m2m_reqbufs                     | v4l2-mem2mem.c               |
| v4l2_m2m_last_buffer_done            | v4l2-mem2mem.c               |
| v4l2_m2m_has_stopped                 | v4l2-mem2mem.h               |
| v4l2_m2m_mark_stopped                | v4l2-mem2mem.h               |
| v4l2_m2m_clear_state                 | v4l2-mem2mem.h               |
| v4l2_m2m_buf_done                    | v4l2-mem2mem.h               |
| v4l2_m2m_get_vq                      | v4l2-mem2mem.c               |
| clear_bit                            | instrumented-atomic.h        |
| rockchip_vpu981_av1_dec_exit         | rockchip_vpu981_hw_av1_dec.c |
| hantro_postproc_free                 | hantro_postproc.c            |
| hantro_buf_request_complete          | hantro_v4l2.c                |
| hantro_stop_streaming                | hantro_v4l2.c                |
| hantro_return_bufs                   | hantro_v4l2.c                |
| hantro_vq_is_coded                   | hantro_v4l2.c                |
| hantro_queue_setup                   | hantro_v4l2.c                |
| rockchip_vpu981_av1_dec_tiles_free   | rockchip_vpu981_hw_av1_dec.c |
| v4l2_ctrl_handler_free_request       | v4l2-ctrls-request.c         |
| v4l2_ctrl_handler_init_request       | v4l2-ctrls-request.c         |
| node2id                              | v4l2-ctrls-priv.h            |
| check_range                          | v4l2-ctrls-core.c            |
| find_ref_lock                        | v4l2-ctrls-core.c            |
| find_ref                             | v4l2-ctrls-core.c            |
| handler_new_ref                      | v4l2-ctrls-core.c            |
| new_to_req                           | v4l2-ctrls-core.c            |
| cur_to_req                           | v4l2-ctrls-core.c            |
| cur_to_new                           | v4l2-ctrls-core.c            |
| v4l2_ctrl_new                        | v4l2-ctrls-core.c            |
| find_private_ref                     | v4l2-ctrls-core.c            |
| handler_set_err                      | v4l2-ctrls-core.c            |
| req_alloc_array                      | v4l2-ctrls-core.c            |
| ptr_to_ptr                           | v4l2-ctrls-core.c            |
| std_init_compound                    | v4l2-ctrls-core.c            |
| v4l2_ctrl_request_bind               | v4l2-ctrls-request.c         |
| v4l2_ctrl_request_clone              | v4l2-ctrls-request.c         |
| __v4l2_event_queue_fh                | v4l2-event.c                 |
| v4l2_event_subscribed                | v4l2-event.c                 |
| sev_pos                              | v4l2-event.c                 |
| get_queue_ctx                        | v4l2-mem2mem.c               |
| __compiletime_assert_1               | cpucaps.h                    |
| __compiletime_assert_0               | cpucaps.h                    |
| cpucap_is_possible                   | cpucaps.h                    |
