Running query: recursive_function_calls.ql on database /home/till/thesis/hantro-db...
|                     col0                     |             col1             |
| kfree                                        | slab.h                       |
| krealloc_noprof                              | slab.h                       |
| _dev_info                                    | dev_printk.h                 |
| _dev_warn                                    | dev_printk.h                 |
| _dev_err                                     | dev_printk.h                 |
| _dev_printk                                  | dev_printk.h                 |
| ida_free                                     | idr.h                        |
| file_inode                                   | fs.h                         |
| iminor                                       | fs.h                         |
| put_device                                   | device.h                     |
| get_device                                   | device.h                     |
| dev_get_drvdata                              | device.h                     |
| __compiletime_assert_457                     | v4l2-cci.c                   |
| __compiletime_assert_457                     | mm.h                         |
| __compiletime_assert_457                     | fs.h                         |
| __compiletime_assert_457                     | tlbflush.h                   |
| __compiletime_assert_456                     | v4l2-cci.c                   |
| __compiletime_assert_456                     | mm.h                         |
| __compiletime_assert_456                     | mount.h                      |
| __compiletime_assert_456                     | fs.h                         |
| __compiletime_assert_456                     | tlbflush.h                   |
| __compiletime_assert_455                     | v4l2-cci.c                   |
| __compiletime_assert_455                     | tlbflush.h                   |
| __compiletime_assert_454                     | v4l2-cci.c                   |
| __compiletime_assert_454                     | mount.h                      |
| __compiletime_assert_454                     | tlbflush.h                   |
| __compiletime_assert_453                     | v4l2-cci.c                   |
| __compiletime_assert_453                     | tlbflush.h                   |
| __compiletime_assert_458                     | v4l2-cci.c                   |
| __compiletime_assert_458                     | mm.h                         |
| __compiletime_assert_458                     | fs.h                         |
| __compiletime_assert_458                     | fixmap.h                     |
| __compiletime_assert_465                     | v4l2-cci.c                   |
| __compiletime_assert_465                     | ioport.h                     |
| __compiletime_assert_465                     | fs.h                         |
| __compiletime_assert_465                     | pgtable.h                    |
| __compiletime_assert_464                     | v4l2-cci.c                   |
| __compiletime_assert_464                     | kernfs.h                     |
| __compiletime_assert_464                     | fs.h                         |
| __compiletime_assert_464                     | pgtable.h                    |
| __compiletime_assert_462                     | v4l2-cci.c                   |
| __compiletime_assert_462                     | ioport.h                     |
| __compiletime_assert_462                     | mm.h                         |
| __compiletime_assert_462                     | fs.h                         |
| __compiletime_assert_462                     | pgtable.h                    |
| __compiletime_assert_461                     | v4l2-cci.c                   |
| __compiletime_assert_461                     | mm.h                         |
| __compiletime_assert_461                     | fs.h                         |
| __compiletime_assert_461                     | pgtable.h                    |
| __compiletime_assert_460                     | v4l2-cci.c                   |
| __compiletime_assert_460                     | mm.h                         |
| __compiletime_assert_460                     | fs.h                         |
| __compiletime_assert_460                     | pgtable.h                    |
| __compiletime_assert_459                     | v4l2-cci.c                   |
| __compiletime_assert_459                     | mm.h                         |
| __compiletime_assert_459                     | fs.h                         |
| __compiletime_assert_459                     | pgtable.h                    |
| __compiletime_assert_469                     | v4l2-cci.c                   |
| __compiletime_assert_469                     | pgtable.h                    |
| __compiletime_assert_468                     | v4l2-cci.c                   |
| __compiletime_assert_468                     | ioport.h                     |
| __compiletime_assert_468                     | fs.h                         |
| __compiletime_assert_468                     | pgtable.h                    |
| __compiletime_assert_467                     | v4l2-cci.c                   |
| __compiletime_assert_467                     | fs.h                         |
| __compiletime_assert_467                     | pgtable.h                    |
| __compiletime_assert_466                     | v4l2-cci.c                   |
| __compiletime_assert_466                     | fs.h                         |
| __compiletime_assert_466                     | pgtable.h                    |
| iounmap                                      | io.h                         |
| iowrite32                                    | io.h                         |
| ioread32                                     | io.h                         |
| writel                                       | io.h                         |
| readl                                        | io.h                         |
| log_post_read_mmio                           | io.h                         |
| log_read_mmio                                | io.h                         |
